86|MDAS|MstSubstation.ssid|MinLength|5|Min length is 5||
87|MDAS|MstSubstation.ssid|MaxLength|15|Max length is 15||
88|MDAS|MstSubstation.ssid|DataType|^[A-z0-9]+$|Invalid code|Alphanumeric|
89|MDAS|MstSubstation.ssname|DataType|^[A-z]+[0-9,',\\-,\\\\,.]*$|Invalid substation name|Name|
90|MDAS|MstSubstation.ssname|MaxLength|15|Max length is 15||
91|MDAS|MstSubstation.ssname|MinLength|5|Min length is 5||
92|MDAS|MstSubstation.ssname|Required|Y|Please enter name||
93|MDAS|MstDivision.divid|MinLength|5|Min length is 5||
94|MDAS|MstDivision.divid|MaxLength|15|Max length is 15||
95|MDAS|MstDivision.divid|DataType|^[A-z0-9]+$|Invalid code|Alphanumeric|
96|MDAS|MstDivision.divid|Required|Y|Please enter code||
97|MDAS|MstDivision.divid|Padded|Y|||
98|MDAS|MstDivision.divname|MinLength|5|Min length  is 5||
99|MDAS|MstDivision.divname|MaxLength|15|Max length  is 15||
100|MDAS|MstDivision.divname|DataType|^[A-z]+[0-9,',\\-,\\\\,.]*$|Invalid name|Name|
101|MDAS|MstDivision.divname|Required|Y|Please enter name||
102|MDAS|MstDivision.divrgnid|Required|Y|Please select region||
103|MDAS|MstRegion.RgnID|Required|Y|Please enter code||
104|MDAS|MstRegion.RgnID|MinLength|5|Min length is 5||
105|MDAS|MstRegion.RgnID|MaxLength|10|Max length is 10||
106|MDAS|MstRegion.RgnID|DataType|^[A-z0-9]+$|Invalid code|Alphanumeric|
107|MDAS|MstRegion.RgnID|Padded|Y|||
108|MDAS|MstRegion.RgnName|MaxLength|15|Max length is 15||
109|MDAS|MstRegion.RgnName|MinLength|5|Min length is 5||
110|MDAS|MstRegion.RgnName|DataType|^[A-z]+[0-9,',\\-,\\\\,.]*$|Invalid name|Name|
111|MDAS|MstRegion.RgnName|Required|Y|Please enter name||
112|MDAS|MstRegion.RgnZnID|Required|Y|Please select zone||
113|MDAS|MstTariff.trfid|Required|Y|Please enter code||
114|MDAS|MstTariff.trfid|MinLength|4|Min length is 4||
115|MDAS|MstTariff.trfid|MaxLength|10|Max length is 10||
116|MDAS|MstTariff.trfid|DataType|^[A-z0-9]+$|Invalid code|Alphanumeric|
117|MDAS|MstTariff.trfid|Padded|Y|||
118|MDAS|MstTariff.trftouid|Required|Y|Please select TOU code||
119|MDAS|MstTariff.trftouslotid|Required|Y|Please select TOU slot||
120|MDAS|MstTOU.touconsumercatid|Required|Y|Please select consumer category||
121|MDAS|MstTOU.touid|Required|Y|Please enter code||
122|MDAS|MstTOU.touid|MinLength|3|Min length is 3||
123|MDAS|MstTOU.touid|MaxLength|10|Max length is 10||
124|MDAS|MstTOU.touid|DataType|^[A-z0-9]+$|Invalid code|Alphanumeric|
125|MDAS|MstTOU.touid|Padded|Y|||
126|MDAS|MstTOU.toumaxslots|Required|Y|Please enter max slots||
